Data,F1,F2,F3,F4 ,F5,F6,F7,F8
1/1964,-0.282786639,0.0321711,-0.03176825,0.110924787,0.040481791,0.185562348,-0.072204096,0.198119505
2/1964,-0.346779341,0.070207974,-0.146624517,0.171625022,0.067034579,-0.133378154,-0.063540085,0.161912201
3/1964,-0.131279327,-0.120173044,0.001546885,0.031762602,0.050657367,-0.235118583,-0.030441045,0.036475889
4/1964,-0.449836728,0.198444068,0.051217387,0.007429866,-0.097511728,0.293400163,0.131163414,-0.132522962
5/1964,-0.305373128,0.052405392,-0.01865427,0.084271177,-0.026342696,0.015674922,-0.054430477,0.254635693
6/1964,-0.143333629,-0.084712496,0.039635122,-1.64E-05,-0.011987223,-0.110979944,0.094437768,-0.089585035
7/1964,-0.4559176,0.117359407,0.045147764,0.119206596,-0.059306914,0.015794712,-0.121554402,0.06766302
8/1964,-0.321621814,-0.012136632,-0.105716866,0.020579062,-0.077460304,-0.225616343,0.082498374,0.083826664
9/1964,-0.368672769,-0.099410717,0.024478368,0.019202865,-0.123100975,-0.248752279,-0.047133237,0.073922375
10/1964,0.380625371,-0.227488458,-0.226475804,0.021802687,0.250725917,-0.574202059,-0.250705277,0.278583201
11/1964,-0.975721468,0.240114435,0.16945673,-0.045237217,-0.403861391,0.368994897,0.349186619,-0.305960768
12/1964,-0.649602009,0.093624002,0.039108155,-0.049178952,-0.171618074,0.198524808,0.073173342,0.149630412
1/1965,-0.438037976,0.033231452,-0.011642009,-0.003986073,-0.19967611,-0.033025372,-0.06411712,0.124732291
2/1965,-0.267458058,-0.021580332,-0.136176051,-0.005982938,-0.087101464,-0.041484516,-0.041729644,0.009040385
3/1965,-0.583596469,0.028370047,0.023013102,-0.024761891,-0.244438355,-0.113966313,0.027003446,0.117262629
4/1965,-0.33696093,-0.147504904,-0.030490996,0.003325254,-0.156871881,-0.157403847,-0.121540637,0.346199869
5/1965,-0.433430099,-0.047629212,-0.030174615,0.012267446,-0.193169332,-0.102649102,-0.033108101,-0.109128168
6/1965,-0.267948928,-0.134388656,-0.060976519,-0.081652177,-0.180760088,-0.098406592,0.30570585,0.114633846
7/1965,-0.515996904,0.146079596,-0.313546018,0.039535784,-0.19126447,-0.018839049,-0.152677886,0.208670871
8/1965,-0.180784891,-0.121820961,-0.064990478,0.01525695,-0.099283279,-0.138557412,-0.041677944,-0.044552193
9/1965,-0.399347108,-0.030641278,0.114942093,0.069234022,-0.115076162,0.034076809,-0.098881019,0.152061137
10/1965,-0.482297186,0.031201748,0.030569515,0.034313862,-0.085058144,0.023561089,-0.129862724,0.159385311
11/1965,-0.406930852,-0.008876294,-0.020389836,0.015041568,-0.113249046,-0.073733682,-0.095268851,0.137888647
12/1965,-0.62810523,-0.067948535,0.074641985,-0.089901448,-0.083883375,-0.024053949,0.080256666,0.082540312
1/1966,-0.490569548,0.097795716,-0.157058956,-0.067802933,-0.137838097,-0.101796255,-0.097561658,-0.001437273
2/1966,-0.474851267,-0.176727626,0.20170804,-0.15799113,-0.237339649,-0.230817038,0.000857004,-0.051466324
3/1966,-0.694859002,0.101044742,-0.254913498,-0.104393139,-0.251651263,-0.040329144,0.074222575,0.205922025
4/1966,-0.321948303,-0.111497978,0.084089945,-0.033877825,-0.179899843,-0.218665897,-0.026080139,-0.027150656
5/1966,-0.25089095,-0.084204677,-0.409850711,-0.257945351,-0.313344017,-0.206770711,0.182255315,0.221770139
6/1966,-0.468806625,-0.113215301,-0.092412584,-0.09410801,-0.375950207,-0.150678126,-0.074094353,0.228091702
7/1966,-0.236042219,-0.245727323,-0.020586409,-0.261130291,-0.270876236,-0.157143565,-0.056528482,0.12144122
8/1966,-0.170680592,-0.207427739,-0.044093925,-0.376708887,-0.250286019,-0.120175996,0.118726753,0.111955415
9/1966,-0.151991996,0.093296044,-0.169825678,-0.331075942,-0.230155792,0.015679499,0.098823584,-0.062706771
10/1966,-0.136818892,0.066123738,-0.037587879,-0.279930966,-0.438527753,0.054303848,0.049993487,0.179236023
11/1966,0.171549324,-0.105127094,-0.153540525,-0.096291707,-0.264202759,-0.276360922,-0.366767926,0.23768178
12/1966,0.169687294,-0.027725912,-0.132465713,-0.042780558,-0.349333038,-0.05775812,0.05427788,0.339961731
1/1967,0.087378678,0.04741733,-0.044974676,0.091044755,-0.290528111,0.039882588,-0.035257428,0.12809627
2/1967,0.471829034,-0.205225243,-0.018240945,0.025132382,-0.082375328,-0.19887392,-0.156638112,0.056547261
3/1967,0.306565701,0.012693825,-0.116953195,0.093361588,-0.109698969,-0.046782675,-0.095182628,0.386184678
4/1967,0.176151027,0.089456787,0.133634756,0.007061359,-0.017392631,0.343652282,0.095986391,0.127116247
